graph,question,answer
object-detection-on-coco-o,"Which paper argues that NMS strikes back in object detection on COCO-O?",NMS Strikes Back
object-detection-on-coco-o,"What method proposes a ConvNet for the 2020s, evaluated on COCO-O?",A ConvNet for the 2020s
object-detection-on-coco-o,"Which paper adapts vision transformers for dense predictions on COCO-O?",Vision Transformer Adapter for Dense Predictions
object-detection-on-coco-o,"What approach uses coarse-to-fine vision-language pre-training with fusion in the backbone for COCO-O?",Coarse-to-Fine Vision-Language Pre-training with Fusion in the Backbone
object-detection-on-coco-o,"Which paper introduces instances as queries for COCO-O detection?",Instances as Queries
object-detection-on-coco-o,"What method proposes robust and accurate object detection via adversarial learning for COCO-O?",Robust and Accurate Object Detection via Adversarial Learning
object-detection-on-coco-o,"Which paper introduces probabilistic two-stage detection for COCO-O?",Probabilistic two-stage detection
object-detection-on-coco-o,"What's the highest reported Average mAP for object detection on COCO-O?",48.5
object-detection-on-coco-o,"Which model achieves 37.5 Average mAP on COCO-O?",ConvNeXt-XL
object-detection-on-coco-o,"What's the Effective Robustness of the FIBER-B model on COCO-O?",11.43
